Uniprot.ID,V_log2.i._TMT_1,V_log2.i._TMT_3,V_log2.i._TMT_5,V_log2.i._TMT_7,V_log2.i._TMT_9,D_log2.i._TMT_2,D_log2.i._TMT_4,D_log2.i._TMT_6,D_log2.i._TMT_8,D_log2.i._TMT_10
O43402,21.17857849,21.38665491,21.25302418,21.23006783,21.12580696,21.37006419,21.37094659,21.29140568,21.29439732,21.36695635
Q13618,21.9823764,22.09747241,22.07777749,21.98373508,21.80029113,22.08373025,22.20264805,22.12392231,22.01073211,22.12112035
P60510,23.6288131,23.61700724,23.67466201,23.71249316,23.70649181,23.60278828,23.45543764,23.63985875,23.65490428,23.54813301
P62879,20.46209612,20.40266516,20.37388001,20.48090061,20.26792641,20.51926145,20.52421536,20.43513649,20.46804749,20.5034236
Q96L92,19.89012014,20.01461316,19.97289375,19.89328211,19.8581177,20.00589972,20.03216126,19.88679094,20.04910478,20.04600795
Q92520,22.1147676,21.95883131,22.02043211,22.07777749,22.17349582,21.92088,21.95119611,21.99342646,22.06687571,21.96011915
Q9H8M7,21.61764351,21.6014863,21.53124584,21.56309725,21.55874485,21.58460556,21.53999326,21.5252837,21.48918959,21.4646281
Q96K76,23.95932553,24.0584647,24.0435391,23.99643814,23.86239459,24.0982935,24.0925697,24.04543732,24.01880209,24.03888353
Q8N9Q2,18.23331176,18.26101045,18.22362857,18.33031383,18.16952827,18.12740356,18.25866258,18.21982178,18.12193625,18.07736105
Q09666,28.58294171,28.608655,28.608655,28.608655,28.5680815,28.54479216,28.58294171,28.58294171,28.58294171,28.48908631
P84077,27.28102332,27.26370066,27.30410377,27.32531934,27.27396004,27.29072486,27.21226062,27.25741865,27.21835603,27.26370066
Q9HD64,18.27483939,18.29421648,18.21376873,18.36963675,18.38983646,18.23909029,18.05635394,18.27483939,18.19406277,18.19406277
Q86TV6,20.88213592,20.84801025,20.78858097,20.87227715,20.90738875,20.81705982,20.79763203,20.82172789,20.82043039,20.80642571
Q9H063,19.04208707,19.03310284,19.00316375,19.06801513,19.03929014,19.12284839,19.18482788,19.16178172,19.07626472,19.07338567
Q9NVU0,20.31453893,20.32248052,20.28137983,20.28194174,20.21295978,20.32106897,20.43072175,20.2994824,20.38090782,20.4338541
Q9H4I3,20.4338541,20.48766759,20.40687109,20.4729915,20.42817043,20.400871,20.42160073,20.4204796,20.38896886,20.3570988
Q9NP66,22.60663757,22.4883422,22.54658617,22.60412825,22.53021031,22.54157735,22.51851388,22.47430376,22.48758414,22.44942172
Q9P2K3,19.16178172,19.17961548,19.1309748,19.06170067,19.06801513,19.10173374,19.09565031,18.94367947,19.0274499,19.05228802
O43143,27.57607128,27.57607128,27.59765645,27.61561522,27.61138714,27.58452548,27.57607128,27.56507217,27.57283517,27.54057853
Q4VC05,22.83839345,22.79757719,22.82522726,22.79697224,22.81161147,22.83208729,22.77331352,22.6765154,22.80794434,22.62490024
P25205,27.56959907,27.58452548,27.62595753,27.6030733,27.4805563,27.67308074,27.63529816,27.59765645,27.61561522,27.69328286
Q9NW08,21.47288112,21.5252837,21.46707291,21.56783871,21.49589665,21.49941177,21.6276423,21.5285119,21.62388298,21.90719265
P08236,25.90541843,25.85877321,26.03582796,26.02114212,25.88343572,25.84371362,25.73310006,25.77986445,25.87311417,25.72150935
Q9UK99,21.08794458,21.13547687,21.21039089,21.21370292,21.10296768,21.15585049,21.05600609,21.09669721,21.07224631,21.03790183
Q9Y597,23.56424225,23.67327157,23.68220552,23.70827832,23.63569202,23.61700724,23.53068923,23.64591866,23.55175335,23.52360347
Q9Y3D3,20.98686866,21.00576483,20.9572947,20.98311495,20.94999816,20.933874,21.07429112,20.98876867,21.32560217,21.22860314
O75880,25.31093352,25.2241549,25.26150793,25.24835687,25.44468078,25.14564146,25.15603042,25.1945438,25.25254209,25.20789923
P43251,19.04596931,18.91878037,18.9002061,18.88680476,19.00640895,18.93500013,18.89591088,18.88148948,18.71725376,18.77876394
